2021-02-09 11:35:17 INFO  Main:23 - Начало программы_____________________________
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:25 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:28 INFO  Card:21 - Создан новый счёт
2021-02-09 11:35:28 INFO  Card:17 - Создана новая карта
2021-02-09 11:35:41 INFO  Card:28 - Счёт пополнен
2021-02-09 19:23:45 INFO  Card:21 - Создан новый счёт
